Index,coefficients,intercept,mse,rmse,mae,r2,adjusted_r2,smape
0,0.7151017166024397,0.005956963164751916,0.0007174103293169439,0.026784516596663525,0.013454037402890142,0.957233070520267,0.9572315823019603,33.757645532158485
1,1.0147452120863945,0.004706824339656912,0.00027066443735124343,0.01645188248654978,0.009807759895655748,0.9916741511030228,0.9916738613772722,21.012766244968883
2,0.007676276899118415,0.010582295876911145,7.742480938482018e-05,0.008799136854534095,0.004789070915933035,0.025078505557509678,0.02504457990436415,44.17829857423556
3,0.001985206092963761,0.08470048973208055,0.0002524331815193573,0.015888145943418235,0.005681783519512859,0.0005497637744593664,0.0005149845617292703,6.112636490026753
4,0.7081470620412138,0.005529958236693472,0.0006913544809567299,0.026293620537246862,0.012873377942002584,0.9587863359024602,0.958784901735216,32.84417154944196
5,1.0075213014068316,0.003796376930025644,5.815332776383915e-05,0.007625832922628134,0.005159072637330042,0.9982111583458976,0.9982110960971711,16.22357116558522
6,0.008158407736460626,0.010513607172369282,7.714694310878475e-05,0.008783333257299575,0.004782530380904315,0.028577355696632334,0.028543551797676203,44.1173164521455
7,0.0022884769952014215,0.08466216461678616,0.00025239645368218454,0.015886990076228555,0.00568076182050976,0.000695179069379992,0.0006604049168612569,6.1112896765731355
8,3.7124786012163384,0.048565011404913705,0.015787653488693158,0.12564892951670203,0.08802669756874179,0.05885176751740062,0.05881901711782922,110.69529297009156
9,5.1847839489094945,0.06603243395378797,0.030636080545894936,0.17503165583943647,0.12275751343458013,0.0576103018301759,0.05757750822965502,112.47871636153049
10,1.0696960010893057,0.0003606319933115807,7.624037019296278e-06,0.0027611658804382396,0.0019252262021415378,0.903999278479406,0.9039959378133128,20.282578346597937
11,0.8934138335803521,0.07566133041318421,0.00019951814101479417,0.01412508906218981,0.004658069427149509,0.21005451039238465,0.21002702159781295,4.866809163401033
