Index,bayesian,cart,elasticnet,huber,knn,linear
0,0.9567984300358233,0.9186477796358966,0.9567984304710652,0.9556986686788558,0.9507408107031001,0.9567984300027342
1,0.991384967660614,0.9846561439868189,0.9913849676908204,0.9913375859627496,0.9907060537124142,0.9913849676600202
2,0.022941952217442625,-0.7259906394688783,0.022942299435007536,0.006753995545801339,-0.045483981751980165,0.022941588392778472
3,0.000410133007759228,-0.946245434244651,0.00041013137922248923,-0.017297951699656755,-0.15824554281257022,0.0004101108610189493
4,0.9583430192715755,0.9240423348662382,0.9583430195385062,0.9570769105084668,0.9541177775778329,0.9583430192429634
5,0.9981583252497681,0.9969685496760105,0.9981583251955917,0.9981198963376122,0.9981546308011713,0.9981583252497845
6,0.02647347298901642,-0.7747122442918017,0.026473725260900072,0.010343718210261072,-0.05479919453146467,0.026473134398541234
7,0.00057039705816521,-0.9437265366648668,0.0005703489624565091,-0.016968077176699427,-0.18463934441577884,0.0005703305293046783
8,0.05405580922315752,-0.5952822960821462,0.054064265771327474,-0.05181684302978672,-0.020654852417636493,0.054055537321041625
9,0.05400549792741415,-0.5831887126457979,0.05401436760846028,-0.05785601592385071,-0.01174861027549593,0.05400524321214887
10,0.8908554459450068,0.8029628483696587,0.89081591989694,0.8758492558149047,0.8630596022510277,0.8908554527660947
11,0.19202396958469078,-0.4545437227308856,0.19202978850929528,0.16767272026662478,0.06096004934738094,0.19202390130345243
